Vendor_ID,Asset,Price,Timestamp,Market,Currency,Volume,Latency_ms,avg_price,deviation,accuracy,is_outlier
Vendor_A,TCS,3475.76,01-01-2025 09:15,BSE,INR,84810,233,3477.605,-1.845,99.94694625,FALSE
Vendor_B,TCS,3470.68,01-01-2025 09:15,BSE,INR,84463,459,3477.605,-6.925,99.8008687,TRUE
Vendor_C,TCS,3477.12,01-01-2025 09:15,BSE,INR,54124,121,3477.605,-0.485,99.98605362,FALSE
Vendor_D,TCS,3486.86,01-01-2025 09:15,BSE,INR,2529,454,3477.605,9.255,99.73386857,TRUE
Vendor_A,INFY,1515.11,01-01-2025 09:15,BSE,INR,14535,35,1515.185,-0.075,99.99505011,FALSE
Vendor_B,INFY,1512.58,01-01-2025 09:15,NSE,INR,49051,211,1515.185,-2.605,99.8280738,FALSE
Vendor_C,INFY,1515.3,01-01-2025 09:15,BSE,INR,72981,88,1515.185,0.115,99.99241017,FALSE
Vendor_D,INFY,1517.75,01-01-2025 09:15,NSE,INR,82165,188,1515.185,2.565,99.83071374,FALSE
Vendor_A,RELIANCE,2490.2,01-01-2025 09:15,BSE,INR,22688,154,2490.815,-0.615,99.97530929,FALSE
Vendor_B,RELIANCE,2489.74,01-01-2025 09:15,BSE,INR,47822,415,2490.815,-1.075,99.95684144,FALSE
Vendor_C,RELIANCE,2489.23,01-01-2025 09:15,NSE,INR,10080,98,2490.815,-1.585,99.93636621,FALSE
Vendor_D,RELIANCE,2494.09,01-01-2025 09:15,BSE,INR,36394,239,2490.815,3.275,99.86851693,FALSE
Vendor_A,HDFC,1571.89,01-01-2025 09:15,BSE,INR,33908,217,1575.8025,-3.9125,99.75171381,FALSE
Vendor_B,HDFC,1576.5,01-01-2025 09:15,NSE,INR,32315,403,1575.8025,0.6975,99.95573684,FALSE
Vendor_C,HDFC,1572.04,01-01-2025 09:15,NSE,INR,32833,465,1575.8025,-3.7625,99.76123277,FALSE
Vendor_D,HDFC,1582.78,01-01-2025 09:15,BSE,INR,15344,41,1575.8025,6.9775,99.55720974,TRUE
Vendor_A,ICICI,892.02,01-01-2025 09:15,NSE,INR,24136,462,891.9775,0.0425,99.99523531,FALSE
Vendor_B,ICICI,890.54,01-01-2025 09:15,BSE,INR,96550,239,891.9775,-1.4375,99.83884123,FALSE
Vendor_C,ICICI,891.8,01-01-2025 09:15,BSE,INR,74045,383,891.9775,-0.1775,99.98010039,FALSE
Vendor_D,ICICI,893.55,01-01-2025 09:15,NSE,INR,36974,424,891.9775,1.5725,99.82370632,FALSE
Vendor_A,SBIN,607.82,01-01-2025 09:15,NSE,INR,22483,103,594.6625,13.1575,97.78740042,TRUE
Vendor_B,SBIN,609.98,01-01-2025 09:15,NSE,INR,74196,72,594.6625,15.3175,97.42416917,TRUE
Vendor_C,SBIN,552.71,01-01-2025 09:15,NSE,INR,58611,496,594.6625,-41.9525,92.94515797,TRUE
Vendor_D,SBIN,608.14,01-01-2025 09:15,NSE,INR,20132,118,594.6625,13.4775,97.73358838,TRUE
Vendor_A,WIPRO,454.04,01-01-2025 09:15,NSE,INR,85020,203,442.6775,11.3625,97.433233,TRUE
Vendor_B,WIPRO,454.38,01-01-2025 09:15,NSE,INR,94339,324,442.6775,11.7025,97.35642765,TRUE
Vendor_C,WIPRO,452.86,01-01-2025 09:15,NSE,INR,29140,289,442.6775,10.1825,97.69979274,TRUE
Vendor_D,WIPRO,409.43,01-01-2025 09:15,NSE,INR,61314,125,442.6775,-33.2475,92.48945338,TRUE
Vendor_A,LT,3013.07,01-01-2025 09:15,NSE,INR,52398,380,3013.195,-0.125,99.99585158,FALSE
Vendor_B,LT,3013.39,01-01-2025 09:15,NSE,INR,68827,115,3013.195,0.195,99.99352846,FALSE
Vendor_C,LT,3011.05,01-01-2025 09:15,BSE,INR,62469,301,3013.195,-2.145,99.9288131,FALSE
Vendor_D,LT,3015.27,01-01-2025 09:15,NSE,INR,33161,102,3013.195,2.075,99.93113622,FALSE
Vendor_A,AXISBANK,986.01,01-01-2025 09:15,BSE,INR,35564,89,958.0275,27.9825,97.07915483,TRUE
Vendor_B,AXISBANK,983.45,01-01-2025 09:15,NSE,INR,40372,175,958.0275,25.4225,97.34637054,TRUE
Vendor_C,AXISBANK,989.01,01-01-2025 09:15,BSE,INR,17882,418,958.0275,30.9825,96.76601141,TRUE
Vendor_D,AXISBANK,873.64,01-01-2025 09:15,NSE,INR,92238,334,958.0275,-84.3875,91.19153678,TRUE
Vendor_A,MARUTI,9398.66,01-01-2025 09:15,NSE,INR,84792,465,9909.14,-510.48,94.84839249,TRUE
Vendor_B,MARUTI,10087.95,01-01-2025 09:15,NSE,INR,32005,227,9909.14,178.81,98.19550435,TRUE
Vendor_C,MARUTI,10090.48,01-01-2025 09:15,NSE,INR,24192,159,9909.14,181.34,98.16997237,TRUE
Vendor_D,MARUTI,10059.47,01-01-2025 09:15,BSE,INR,40238,317,9909.14,150.33,98.48291577,TRUE
Vendor_A,TCS,3498.4,01-01-2025 09:20,NSE,INR,21089,492,3497.205,1.195,99.96582986,FALSE
Vendor_B,TCS,3505.2,01-01-2025 09:20,NSE,INR,36697,41,3497.205,7.995,99.77138887,TRUE
Vendor_C,TCS,3490.32,01-01-2025 09:20,NSE,INR,55053,350,3497.205,-6.885,99.8031285,TRUE
Vendor_D,TCS,3494.9,01-01-2025 09:20,NSE,INR,8172,116,3497.205,-2.305,99.93409022,FALSE
Vendor_A,INFY,1516.61,01-01-2025 09:20,BSE,INR,78970,271,1481.7925,34.8175,97.65031204,TRUE
Vendor_B,INFY,1516.62,01-01-2025 09:20,NSE,INR,24180,24,1481.7925,34.8275,97.64963718,TRUE
Vendor_C,INFY,1514.28,01-01-2025 09:20,NSE,INR,58548,433,1481.7925,32.4875,97.80755403,TRUE
Vendor_D,INFY,1379.66,01-01-2025 09:20,BSE,INR,50153,476,1481.7925,-102.1325,93.10750324,TRUE
Vendor_A,RELIANCE,2563.18,01-01-2025 09:20,BSE,INR,41674,255,2478.835,84.345,96.59739353,TRUE
Vendor_B,RELIANCE,2556.6,01-01-2025 09:20,BSE,INR,76677,40,2478.835,77.765,96.86284081,TRUE
Vendor_C,RELIANCE,2224.91,01-01-2025 09:20,BSE,INR,86021,184,2478.835,-253.925,89.75627664,TRUE
Vendor_D,RELIANCE,2570.65,01-01-2025 09:20,BSE,INR,20476,323,2478.835,91.815,96.29604229,TRUE
Vendor_A,HDFC,1614.6,01-01-2025 09:20,BSE,INR,46035,15,1617.49,-2.89,99.82132811,FALSE
Vendor_B,HDFC,1616.6,01-01-2025 09:20,NSE,INR,28697,300,1617.49,-0.89,99.94497648,FALSE
Vendor_C,HDFC,1619.11,01-01-2025 09:20,BSE,INR,55956,280,1617.49,1.62,99.89984482,FALSE
Vendor_D,HDFC,1619.65,01-01-2025 09:20,BSE,INR,66885,63,1617.49,2.16,99.86645976,FALSE
Vendor_A,ICICI,906.96,01-01-2025 09:20,NSE,INR,77868,476,909.8475,-2.8875,99.68263912,FALSE
Vendor_B,ICICI,911.48,01-01-2025 09:20,BSE,INR,17821,454,909.8475,1.6325,99.82057433,FALSE
Vendor_C,ICICI,910.4,01-01-2025 09:20,BSE,INR,58606,436,909.8475,0.5525,99.93927554,FALSE
Vendor_D,ICICI,910.55,01-01-2025 09:20,BSE,INR,22132,475,909.8475,0.7025,99.92278926,FALSE
Vendor_A,SBIN,608.37,01-01-2025 09:20,BSE,INR,36858,150,609.015,-0.645,99.89409128,FALSE
Vendor_B,SBIN,609.92,01-01-2025 09:20,NSE,INR,51701,457,609.015,0.905,99.85139939,FALSE
Vendor_C,SBIN,609.47,01-01-2025 09:20,BSE,INR,96421,467,609.015,0.455,99.9252892,FALSE
Vendor_D,SBIN,608.3,01-01-2025 09:20,NSE,INR,40549,326,609.015,-0.715,99.88259731,FALSE
Vendor_A,WIPRO,446.98,01-01-2025 09:20,NSE,INR,31236,182,447.555,-0.575,99.87152417,FALSE
Vendor_B,WIPRO,447.75,01-01-2025 09:20,NSE,INR,74538,188,447.555,0.195,99.95642994,FALSE
Vendor_C,WIPRO,447.53,01-01-2025 09:20,BSE,INR,52370,124,447.555,-0.025,99.99441409,FALSE
Vendor_D,WIPRO,447.96,01-01-2025 09:20,BSE,INR,4079,481,447.555,0.405,99.90950833,FALSE
Vendor_A,LT,2987.2,01-01-2025 09:20,NSE,INR,3002,326,2987.01,0.19,99.99363912,FALSE
Vendor_B,LT,2979.22,01-01-2025 09:20,NSE,INR,76620,328,2987.01,-7.79,99.73920409,TRUE
Vendor_C,LT,2992.55,01-01-2025 09:20,NSE,INR,14078,169,2987.01,5.54,99.81453025,TRUE
Vendor_D,LT,2989.07,01-01-2025 09:20,NSE,INR,77993,123,2987.01,2.06,99.93103471,FALSE
Vendor_A,AXISBANK,1005.73,01-01-2025 09:20,NSE,INR,60137,107,1004.455,1.275,99.87306549,FALSE
Vendor_B,AXISBANK,1004.17,01-01-2025 09:20,NSE,INR,65247,68,1004.455,-0.285,99.9716264,FALSE
Vendor_C,AXISBANK,1004.93,01-01-2025 09:20,BSE,INR,76711,228,1004.455,0.475,99.95271067,FALSE
Vendor_D,AXISBANK,1002.99,01-01-2025 09:20,NSE,INR,44881,248,1004.455,-1.465,99.85414976,FALSE
